SIMULATION RESULTS
____________________

Customer Number: 2, Arrival Time: 6.457372548, End Shopping Time: 13.024596048000001, End Wait Time: 13.024596048000001, End Checkout Time: 15.824596048
Customer Number: 4, Arrival Time: 9.367176344, End Shopping Time: 18.676198599000003, End Wait Time: 18.676198599000003, End Checkout Time: 21.916198599000005
Customer Number: 3, Arrival Time: 8.108090517, End Shopping Time: 19.159794909, End Wait Time: 19.159794909, End Checkout Time: 22.559794908999997
Customer Number: 11, Arrival Time: 18.74018995, End Shopping Time: 19.706912561000003, End Wait Time: 19.706912561000003, End Checkout Time: 22.806912561000004
Customer Number: 1, Arrival Time: 3.746787158, End Shopping Time: 21.772470026, End Wait Time: 21.772470026, End Checkout Time: 25.172470026
Customer Number: 9, Arrival Time: 15.26680173, End Shopping Time: 23.282318736, End Wait Time: 23.282318736, End Checkout Time: 25.482318736
Customer Number: 5, Arrival Time: 9.903384129, End Shopping Time: 28.38400619, End Wait Time: 28.38400619, End Checkout Time: 32.42400619
Customer Number: 8, Arrival Time: 11.6238534, End Shopping Time: 29.66277884, End Wait Time: 29.66277884, End Checkout Time: 34.26277884
Customer Number: 7, Arrival Time: 11.45943481, End Shopping Time: 33.823100138, End Wait Time: 33.823100138, End Checkout Time: 37.123100138
Customer Number: 13, Arrival Time: 23.98098266, End Shopping Time: 39.460954078, End Wait Time: 39.460954078, End Checkout Time: 43.020954078
Customer Number: 6, Arrival Time: 10.09877831, End Shopping Time: 40.478261978, End Wait Time: 40.478261978, End Checkout Time: 45.278261978
Customer Number: 22, Arrival Time: 42.88304724, End Shopping Time: 49.077040600000004, End Wait Time: 49.077040600000004, End Checkout Time: 51.677040600000005
Customer Number: 19, Arrival Time: 37.22620389, End Shopping Time: 50.069268377, End Wait Time: 50.069268377, End Checkout Time: 53.149268377
Customer Number: 16, Arrival Time: 30.61291114, End Shopping Time: 50.102996325999996, End Wait Time: 50.102996325999996, End Checkout Time: 53.252996325999995
Customer Number: 15, Arrival Time: 28.71650272, End Shopping Time: 48.318054222, End Wait Time: 48.318054222, End Checkout Time: 53.918054222
Customer Number: 17, Arrival Time: 32.8935826, End Shopping Time: 53.778421735, End Wait Time: 53.778421735, End Checkout Time: 57.028421735
Customer Number: 12, Arrival Time: 22.53883807, End Shopping Time: 50.930610427000005, End Wait Time: 54.010610427, End Checkout Time: 59.330610427
Customer Number: 21, Arrival Time: 42.31348703, End Shopping Time: 56.770451478, End Wait Time: 56.770451478, End Checkout Time: 61.370451478
Customer Number: 20, Arrival Time: 37.45954166, End Shopping Time: 55.424917858, End Wait Time: 60.744917858, End Checkout Time: 64.064917858
Customer Number: 10, Arrival Time: 17.93835447, End Shopping Time: 60.074303226, End Wait Time: 60.074303226, End Checkout Time: 64.224303226
Customer Number: 29, Arrival Time: 53.13982608, End Shopping Time: 62.4085833, End Wait Time: 62.4085833, End Checkout Time: 66.9085833
Customer Number: 34, Arrival Time: 61.82495664, End Shopping Time: 67.739235122, End Wait Time: 67.739235122, End Checkout Time: 70.139235122
Customer Number: 39, Arrival Time: 68.63640381, End Shopping Time: 69.55759647900001, End Wait Time: 69.55759647900001, End Checkout Time: 71.83759647900001
Customer Number: 33, Arrival Time: 60.96607952, End Shopping Time: 69.368092909, End Wait Time: 69.368092909, End Checkout Time: 72.21809290899999
Customer Number: 37, Arrival Time: 64.85959668, End Shopping Time: 68.93927771099999, End Wait Time: 68.93927771099999, End Checkout Time: 72.23927771099999
Customer Number: 30, Arrival Time: 56.98941341, End Shopping Time: 70.43380325, End Wait Time: 70.43380325, End Checkout Time: 73.43380325
Customer Number: 23, Arrival Time: 44.90047646, End Shopping Time: 74.79867514, End Wait Time: 74.79867514, End Checkout Time: 79.23867514
Customer Number: 14, Arrival Time: 27.99838045, End Shopping Time: 75.195377878, End Wait Time: 75.195377878, End Checkout Time: 79.795377878
Customer Number: 36, Arrival Time: 63.45364369, End Shopping Time: 75.87707943, End Wait Time: 75.87707943, End Checkout Time: 81.17707942999999
Customer Number: 49, Arrival Time: 79.5310133, End Shopping Time: 80.886796113, End Wait Time: 80.886796113, End Checkout Time: 82.086796113
Customer Number: 52, Arrival Time: 80.280538, End Shopping Time: 81.12760527900001, End Wait Time: 81.12760527900001, End Checkout Time: 83.40760527900001
Customer Number: 45, Arrival Time: 73.74573186, End Shopping Time: 81.50459481600001, End Wait Time: 82.70459481600001, End Checkout Time: 85.50459481600001
Customer Number: 32, Arrival Time: 60.91639393, End Shopping Time: 77.54128898799999, End Wait Time: 82.14128898799999, End Checkout Time: 85.54128898799999
Customer Number: 42, Arrival Time: 70.14935277, End Shopping Time: 82.659092934, End Wait Time: 85.459092934, End Checkout Time: 88.859092934
Customer Number: 38, Arrival Time: 67.97077676, End Shopping Time: 86.38244299000002, End Wait Time: 86.38244299000002, End Checkout Time: 89.73244299000001
Customer Number: 25, Arrival Time: 47.37525105, End Shopping Time: 78.52978944, End Wait Time: 83.82978944, End Checkout Time: 89.82978944
Customer Number: 26, Arrival Time: 47.67871758, End Shopping Time: 86.49356778800001, End Wait Time: 86.49356778800001, End Checkout Time: 91.25356778800001
Customer Number: 53, Arrival Time: 84.30309352, End Shopping Time: 86.834385788, End Wait Time: 90.23438578800001, End Checkout Time: 92.03438578800001
Customer Number: 51, Arrival Time: 80.23527888, End Shopping Time: 87.191504888, End Wait Time: 91.951504888, End Checkout Time: 94.79150488799999
Customer Number: 28, Arrival Time: 48.85439607, End Shopping Time: 87.50249044200001, End Wait Time: 90.852490442, End Checkout Time: 95.15249044200002
Customer Number: 54, Arrival Time: 84.82948732, End Shopping Time: 93.593276992, End Wait Time: 93.593276992, End Checkout Time: 96.193276992
Customer Number: 48, Arrival Time: 77.25881148, End Shopping Time: 87.982458144, End Wait Time: 93.982458144, End Checkout Time: 97.88245814400001
Customer Number: 41, Arrival Time: 69.23636586, End Shopping Time: 89.066963548, End Wait Time: 96.71696354800001, End Checkout Time: 100.316963548
Customer Number: 47, Arrival Time: 76.91697925, End Shopping Time: 90.2851486, End Wait Time: 97.8851486, End Checkout Time: 101.2851486
